DATUM;Tiefe;O2
13.01.2004;0.00;12.00
13.01.2004;1.00;12.00
13.01.2004;2.00;12.00
13.01.2004;3.00;12.10
13.01.2004;4.00;12.10
13.01.2004;5.00;12.00
13.01.2004;6.00;12.00
13.01.2004;7.00;12.00
13.01.2004;8.00;12.10
13.01.2004;9.00;12.00
13.01.2004;10.00;12.00
13.01.2004;11.00;12.00
13.01.2004;12.00;11.90
13.01.2004;13.00;11.90
13.01.2004;15.00;11.90
13.01.2004;17.00;11.90
13.01.2004;19.00;11.90
13.01.2004;21.00;11.90
13.01.2004;24.00;11.90
13.01.2004;27.00;11.90
13.01.2004;30.00;12.00
13.01.2004;33.00;12.00
13.01.2004;36.00;11.90
09.02.2004;0.00;13.00
09.02.2004;1.00;13.10
09.02.2004;2.00;13.10
09.02.2004;3.00;13.10
09.02.2004;4.00;13.10
09.02.2004;5.00;13.10
09.02.2004;6.00;13.10
09.02.2004;7.00;13.10
09.02.2004;8.00;13.10
09.02.2004;9.00;13.10
09.02.2004;10.00;13.10
09.02.2004;11.00;13.00
09.02.2004;12.00;13.10
09.02.2004;13.00;13.10
09.02.2004;15.00;13.10
09.02.2004;17.00;13.00
09.02.2004;19.00;13.00
09.02.2004;22.00;13.00
09.02.2004;25.00;13.00
09.02.2004;28.00;13.00
09.02.2004;30.00;13.00
09.02.2004;33.00;13.00
09.02.2004;36.00;13.00
09.02.2004;39.00;13.00
09.02.2004;40.00;13.00
09.02.2004;41.00;13.00
09.02.2004;42.00;12.90
09.03.2004;0.00;14.20
09.03.2004;1.00;14.20
09.03.2004;2.00;14.20
09.03.2004;3.00;14.20
09.03.2004;4.00;14.20
09.03.2004;5.00;14.20
09.03.2004;6.00;14.20
09.03.2004;7.00;14.20
09.03.2004;8.00;14.10
09.03.2004;9.00;14.10
09.03.2004;10.00;14.10
09.03.2004;11.00;14.10
09.03.2004;12.00;14.10
09.03.2004;13.00;14.00
09.03.2004;14.00;14.00
09.03.2004;15.00;14.00
09.03.2004;17.00;14.00
09.03.2004;19.00;14.00
09.03.2004;21.00;14.00
09.03.2004;24.00;14.00
09.03.2004;27.00;14.00
09.03.2004;30.00;14.10
09.03.2004;33.00;13.90
09.03.2004;36.00;14.00
09.03.2004;38.00;14.00
09.03.2004;39.00;13.90
09.03.2004;40.00;13.90
09.03.2004;41.00;13.90
09.03.2004;42.00;13.90
25.03.2004;0.00;13.80
25.03.2004;1.00;13.90
25.03.2004;2.00;13.80
25.03.2004;3.00;13.90
25.03.2004;4.00;14.10
25.03.2004;5.00;14.10
25.03.2004;6.00;14.20
25.03.2004;7.00;14.20
25.03.2004;8.00;14.10
25.03.2004;9.00;14.00
25.03.2004;10.00;13.80
25.03.2004;11.00;13.90
25.03.2004;12.00;14.00
25.03.2004;13.00;14.00
25.03.2004;14.00;14.00
25.03.2004;15.00;13.90
25.03.2004;17.00;13.80
25.03.2004;19.00;13.80
25.03.2004;21.00;13.70
25.03.2004;23.00;13.80
25.03.2004;25.00;13.80
25.03.2004;27.00;13.80
25.03.2004;29.00;13.80
25.03.2004;31.00;13.70
25.03.2004;33.00;13.70
25.03.2004;35.00;13.70
25.03.2004;37.00;13.70
25.03.2004;39.00;13.70
25.03.2004;40.00;13.60
25.03.2004;41.00;13.70
25.03.2004;42.00;13.70
04.05.2004;0.00;11.20
04.05.2004;1.00;11.10
04.05.2004;2.00;11.20
04.05.2004;3.00;11.20
04.05.2004;4.00;11.50
04.05.2004;5.00;11.90
04.05.2004;6.00;12.80
04.05.2004;7.00;13.20
04.05.2004;8.00;13.20
04.05.2004;9.00;13.20
04.05.2004;10.00;13.20
04.05.2004;11.00;13.00
04.05.2004;12.00;13.00
04.05.2004;13.00;13.00
04.05.2004;14.00;12.90
04.05.2004;15.00;12.70
04.05.2004;16.00;12.70
04.05.2004;17.00;12.40
04.05.2004;18.00;12.20
04.05.2004;19.00;12.10
04.05.2004;20.00;12.00
04.05.2004;21.00;12.00
04.05.2004;22.00;11.90
04.05.2004;23.00;11.90
04.05.2004;24.00;11.90
04.05.2004;25.00;11.90
04.05.2004;26.00;11.80
04.05.2004;27.00;11.80
04.05.2004;28.00;11.80
04.05.2004;29.00;11.80
04.05.2004;30.00;11.80
04.05.2004;31.00;11.80
04.05.2004;32.00;11.80
04.05.2004;33.00;11.80
04.05.2004;34.00;11.70
04.05.2004;35.00;11.80
04.05.2004;36.00;11.70
04.05.2004;37.00;11.70
04.05.2004;38.00;11.70
04.05.2004;39.00;11.70
04.05.2004;40.00;11.70
04.05.2004;41.00;11.60
17.05.2004;0.00;10.90
17.05.2004;1.00;10.90
17.05.2004;2.00;10.80
17.05.2004;3.00;10.90
17.05.2004;4.00;10.80
17.05.2004;5.00;11.10
17.05.2004;6.00;10.90
17.05.2004;7.00;11.10
17.05.2004;8.00;11.20
17.05.2004;9.00;11.80
